,Question
931,White t - shirts can be purchased in packages of x1. If mom buys x2 packages of white t - shirts and x3 trousers how many white t - shirts will she have?
932,Paul had x1 books. After selling some in a garage sale he bought x2 new ones. If he has x3 books now how many books did he sell?
933,x1 storks and x2 birds were sitting on the fence. x3 more birds came to join them. how many more storks than birds are sitting on the fence?
934,Bryan took a look at his books and magazines. If he has x1 books and x2 magazines in each of his x3 bookshelves how many books does he have in total?
935,Paul got a box of x1 crayons and x2 erasers for his birthday. At the end of the school year he only had x3 left while not having lost a single erasers. how many more crayons than erasers did he have left?
936,Lewis earns a total of $ x1 during the harvest. If he earns $ x2 each week how many weeks did the harvest last?
937,Dave had x1 apps on his phone. He added x2 new apps. After deleting some he had x3 left. how many apps did he delete?
938,The ring toss game at the carnival made the same amount of money each day. In total in x1 days they earned x2 dollars. how much did they make per day?
939,There were x1 roses and <x4> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowThere were x1 roses and <<4>> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and 2 orchids in the vase. how many more roses than orchids are there in the vase nowx2?
940,The Ferris wheel in paradise park has some seats. Each seat can hold x1 people. If x2 people can ride the wheel at the same time how many seats does the ferris wheel have?
941,Dave had some apps on his phone. After deleting x1 of them he had x2 left. how many apps did he have on his phone at the start?
942,There are x1 different movies and x2 different books in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more books than movies are there in the ' crazy silly school ' series?
943,Randy has x1 blocks. He uses x2 blocks to build a tower and x3 blocks to build a house. how many more blocks did he use to build the house than he did to build the tower?
944,With x1 dollars x2 packs of dvds can be bought. how much does each pack cost?
945,Last week Fred had x1 dollars and Jason had x2 dollars. Jason delivered newspapers and now has x3 dollars. Fred washed cars over the weekend and now has x4 dollars. how much money did jason earn by delivering newspapers?
946,Josh had x1 marbles in his collection. He found x2 marbles while he lost x3 marbles. how many more marbles did he lose than those he found?
947,Jack received x1 emails in the morning and some more in the afternoon. If he received a total of x2 emails in the day how many emails did jack receive in the afternoon?
948,Luke gained x1 points in each round of a game. If he played x2 rounds of a trivia game how many points did he score in the game?
949,There were some roses in the vase. Jessica cut x1 more roses from her flower garden and put them in the vase. There are now x2 roses in the vase. how many roses were there in the vase at the beginning?
950,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped x2 inches farther than the grasshopper and the mouse jumped x3 inches lesser than the frog. how far did the frog jump?"
951,Adam has x1 more apples than Jackie. Jackie has x2 oranges and x3 apples. how many apples does adam have?
952,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace that day. If x2 people visited the Buckingham palace within the past x3 days how many visitors visited the buckingham palace on the previous day?"
953,x1 campers went rowing and x2 campers went hiking in the morning. x3 campers went rowing in the afternoon. how many more campers went rowing in the morning than in the afternoon?
954,Dave had x1 apps on his phone. After adding some he had x2 left. how many apps did he add?
955,There were x1 parents in the program and x2 pupils too. how many more pupils were present compared to parents in the program?
956,Paco ate x1 cookies and had x2 cookies left. how many cookies did he have in the beginning?
957,If each bag has x1 cookies and you had x2 cookies in total how many bags of cookies do you have?
958,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The grasshopper jumped x2 inches farther than the frog and the mouse jumped x3 inches lesser than the frog. how far did the mouse jump?"
959,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by x1 of the pickers that they fill x2 drums of grapes in x3 days. how many drums of grapes would be filled per day?"
960,Katie had x1 new games and x2 old games. Her friends had x3 new games and x4 old games. how many new games do they have together?
961,"Being his favorite, he saved checking on the grapevines after x1 stops. He was told by x2 of the pickers that they fill x3 drums of grapes per day. how many drums of grapes would be filled in x4 days?"
